Category,University,Faculty,Program,2022,2023,2024
آداب,جامعة منوبة,المعهد العالي للرياضة و التربية البدنية بقصر السعيد,الإجازة في علوم وتقنيات الأنشطة البدنية والرياضة,151.865,153.8821,142.8183
آداب,جامعة تونس المنار,كلية الطب بتونس,الطب,173.59,163.79,162.33
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,الإجازة في حفظ الصحة والوقاية والمحيط,112.445,108.87,104.255
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,الإجازة في تقويم النطق والكلام,124.605,119.91,111.835
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,الإجازة في التغذية البشرية,147.59,135.13,139.445
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,الاجازة في العلاج بالعمل,122.985,126.795,134.785
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,الإجازة في الرعاية الصحية للطفل,164.0524,128.919,125.8695
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,الإجازة في علوم التوليد - قابلة,157.0867,147.8954,152.7211
آداب,جامعة تونس المنار,كلية الحقوق والعلوم السياسية بتونس,الإجازة في القانون,128.9457,127.835,129.1437
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في الأنتروبولوجيا,104.0199,103.2372,107.35
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في لغة الإشارات,103.31,102.54,104.4485
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في الآثار,80.5408,96.4951,95.4494
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في الإسبانية,112.185,91.2998,95.4334
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في الإيطالية,104.365,110.4595,105.1936
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في الألمانية,103.56,105.43,96.2324
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في علم الاجتماع,108.1503,109.3273,111.692
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في علم النفس,128.39,122.88,124.58
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في الفلسفة,100.093,95.4923,99.2051
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في العربية,98.4972,92.5623,100.7994
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في الإنقليزية,130.895,128.3091,128.705
آداب,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,الإجازة في الفرنسية,67.5734,70.2231,73.8817
آداب,جامعة تونس المنار,المعهد العالي لعلوم التمريض بتونس,الإجازة في علوم التمريض-اناث,174.7096,145.335,151.0894
آداب,جامعة تونس المنار,المعهد العالي لعلوم التمريض بتونس,الإجازة في علوم التمريض-ذكور,138.725,101.125,133.185
آداب,جامعة قرطاج,المدرسة الوطنية للهندسة المعمارية و التعمير بتونس,الهندسة المعمارية,155.16,161.135,162.065
آداب,جامعة قرطاج,المعهد العالي لإطارات الطفولة بقرطاج درمش,الإجازة في علوم التربية,114.645,107.115,111.255
آداب,جامعة قرطاج,كلية العلوم القانونية والسياسية والإجتماعية بتونس,الإجازة في القانون,147.45,147.1892,142.508
آداب,جامعة قرطاج,المعهد الوطني للشغل والدراسات الإجتماعية بتونس,الإجازة في القانون الاجتماعي,112.655,110.71,107.995
آداب,جامعة قرطاج,المعهد الوطني للشغل والدراسات الإجتماعية بتونس,الاجازة في علوم الشغل,102.44,102.5334,106.2785
آداب,جامعة قرطاج,المعهد الوطني للشغل والدراسات الإجتماعية بتونس,الإجازة في الخدمة الاجتماعية,109.835,105.05,109.19
آداب,جامعة قرطاج,المعهد الوطني للشغل والدراسات الإجتماعية بتونس,الإجازة في التدخل الاجتماعي,106.405,102.095,107.64
آداب,جامعة قرطاج,المعهد العالي للغات بتونس,الإجازة في الروسية,76.9383,80.9145,83.5499
آداب,جامعة قرطاج,المعهد العالي للغات بتونس,الإجازة في الصينية,75.5052,84.3057,86.1972
آداب,جامعة قرطاج,المعهد العالي للغات بتونس,الإجازة في الإسبانية,96.4801,82.7574,92.0948
آداب,جامعة قرطاج,المعهد العالي للغات بتونس,الإجازة في الإيطالية,86.7249,101.37,97.7747
آداب,جامعة قرطاج,المعهد العالي للغات بتونس,الإجازة في الألمانية,86.8801,102.7789,83.1682
آداب,جامعة قرطاج,المعهد العالي للغات بتونس,الإجازة في العربية,92.6133,92.2465,93.0381
آداب,جامعة قرطاج,المعهد العالي للغات بتونس,الإجازة في الإنقليزية,115.346,109.135,101.0222
آداب,جامعة قرطاج,المعهد العالي للغات بتونس,الإجازة في الفرنسية,71.055,71.3568,72.5977
آداب,جامعة قرطاج,المعهد العالى للفنون الجميلة بنابل,الإجازة في الفنون التشكيلية,87.2735,89.4602,94.285
